data,hora,quantidade,,,,,,
2019-01-07,7,96.3,,,,,,
2019-01-07,8,96.924,,,,,,
2019-01-07,9,97.548,,,,,,
2019-01-07,10,98.172,,,,,,
2019-01-07,11,98.796,,,,,,
2019-01-07,12,99.42,,,,,,
2019-01-07,13,100.044,,,,,,
2019-01-07,14,100.668,,,,,,
2019-01-07,15,101.292,,,,,,
2019-01-07,16,101.916,,,,,,
2019-01-07,17,102.54,,,,,,
2019-01-07,18,103.164,,,,,,
2019-01-07,19,103.788,,,,,,
2019-01-07,20,104.412,,,,,,
2019-01-07,21,105.036,,,,,,
2019-01-07,22,105.66,,,,,,
2019-01-07,23,105.66,,,,,,
2019-01-08,0,106.908,,,,,,
2019-01-08,1,107.532,,,,,,
2019-01-08,2,108.156,,,,,,
2019-01-08,3,108.156,,,,,,
2019-01-08,4,108.156,,,,,,
2019-01-08,5,108.156,,,,,,
2019-01-08,6,108.156,,,,,,
2019-01-08,7,108.156,,,,,,
2019-01-08,8,108.156,,,,,,
2019-01-08,9,112.524,,,,,,
2019-01-08,10,113.148,,,,,,
2019-01-08,11,113.772,,,,,,
2019-01-08,12,114.396,,,,,,
2019-01-08,13,115.02,,,,,,
2019-01-08,14,115.644,,,,,,
2019-01-08,15,116.268,,,,,,
2019-01-08,16,116.268,,,,,,
2019-01-08,17,116.268,,,,,,
2019-01-08,18,116.268,,,,,,
2019-01-08,19,118.764,,,,,,
2019-01-08,20,119.388,,,,,,
2019-01-08,21,120.012,,,,,,
2019-01-08,22,120.636,,,,,,
2019-01-08,23,121.26,,,,,,
2019-01-09,0,121.884,,,,,,
2019-01-09,1,122.508,,,,,,
2019-01-09,2,123.132,,,,,,
2019-01-09,3,123.132,,,,,,
2019-01-09,4,123.132,,,,,,
2019-01-09,5,123.132,,,,,,
2019-01-09,6,123.132,,,,,,
2019-01-09,7,123.132,,,,,,
2019-01-09,8,126.876,,,,,,
2019-01-09,9,127.5,,,,,,
2019-01-09,10,128.124,,,,,,
2019-01-09,11,128.124,,,,,,
2019-01-09,12,128.124,,,,,,
2019-01-09,13,128.124,,,,,,
